listing_id,seller_id,category,make,year,condition,hours_used,asking_price,region,list_date,views,bids,inquiries,sold,days_on_market,final_price,age_years,price_band,list_year,list_month,list_qtr,seller_seller_type,seller_tenure_years,seller_total_listings,seller_avg_rating,seller_verified
L000000,S0644,Bulldozers,Caterpillar,1998,Fair,6126.0,13000.0,Mountain West,2022-04-13,16,2,2,1,3,10900.0,26.0,$10K–$30K,2022,4,2,dealer,10.1,15,4.26,True
L000001,S0236,Motor Graders,John Deere,2004,Fair,6838.0,12300.0,Southeast,2023-12-01,8,0,0,0,30,,20.0,$10K–$30K,2023,12,4,dealer,2.1,14,3.61,False
L000002,S0425,Compactors,Komatsu,1999,Good,4784.0,6800.0,Mountain West,2022-03-28,15,1,0,1,25,6100.0,25.0,<$10K,2022,3,1,fleet_operator,5.1,17,3.23,True
L000003,S0633,Forklifts,Volvo Ce,2021,Good,6269.0,17200.0,Mountain West,2022-10-30,19,3,2,0,230,,3.0,$10K–$30K,2022,10,4,fleet_operator,5.5,10,4.06,True
L000004,S0092,Motor Graders,Doosan,2016,Fair,5235.0,35200.0,Southeast,2023-01-11,14,2,5,0,269,,8.0,$30K–$75K,2023,1,1,contractor,8.9,20,4.27,True
L000005,S0541,Excavators,John Deere,1998,Fair,6735.0,9100.0,Northeast,2022-05-15,16,2,0,0,55,,26.0,<$10K,2022,5,2,contractor,3.1,14,4.87,False
L000006,S0587,Wheel Loaders,Liebherr,2023,Excellent,3664.0,85704.99999999997,West Coast,2023-12-02,13,0,1,1,7,101500.0,1.0,$75K–$150K,2023,12,4,dealer,0.7,13,3.56,True
L000007,S0772,Forklifts,Case Ce,2006,Good,6823.0,3100.0,Southwest,2021-10-11,20,5,4,1,8,2900.0,18.0,<$10K,2021,10,4,dealer,6.7,19,4.1,True
L000008,S0138,Bulldozers,Caterpillar,2018,Good,5288.0,51200.0,Great Plains,2021-02-05,23,2,5,1,11,45200.0,6.0,$30K–$75K,2021,2,1,fleet_operator,0.6,14,3.65,False
L000009,S0339,Cranes,Volvo Ce,2014,Fair,3649.0,28000.0,Northeast,2022-08-07,20,7,4,0,4,,10.0,$10K–$30K,2022,8,3,dealer,4.5,7,3.95,False
L000010,S0284,Excavators,Hitachi,2007,Good,5979.0,14400.0,Southeast,2021-01-07,20,2,1,1,22,12900.0,17.0,$10K–$30K,2021,1,1,contractor,14.5,16,4.7,True
L000011,S0781,Forklifts,Hitachi,2003,Poor,7578.0,2000.0,Northeast,2022-12-07,16,3,2,0,17,,21.0,<$10K,2022,12,4,fleet_operator,2.5,21,4.52,False
L000012,S0729,Skid Steers,Caterpillar,2023,Poor,3186.0,12700.0,Northeast,2023-04-15,29,3,2,0,12,,1.0,$10K–$30K,2023,4,2,dealer,3.9,7,2.56,False
L000013,S0481,Wheel Loaders,Terex,2000,Fair,8089.0,8000.0,Mid-Atlantic,2021-08-30,13,2,1,0,11,,24.0,<$10K,2021,8,3,contractor,6.1,21,4.04,False
L000014,S0585,Bulldozers,Hitachi,2017,Fair,4048.0,45900.0,Southwest,2021-10-19,38,4,5,1,22,38900.0,7.0,$30K–$75K,2021,10,4,dealer,2.0,18,2.74,False
L000015,S0760,Aerial Work Platforms,Terex,2021,Good,3061.0,29700.0,Great Plains,2023-06-09,22,2,0,0,154,,3.0,$10K–$30K,2023,6,2,dealer,2.2,15,4.27,True
L000016,S0619,Motor Graders,Jcb,2012,Excellent,6707.0,20400.0,Midwest,2022-12-01,14,3,0,1,10,20200.0,12.0,$10K–$30K,2022,12,4,contractor,13.6,33,3.9,False
L000017,S0232,Forklifts,Hitachi,2018,Good,5555.0,10500.0,Southwest,2021-03-03,10,3,1,0,333,,6.0,$10K–$30K,2021,3,1,contractor,1.3,12,3.95,True
