listing_id,seller_id,category,make,year,condition,hours_used,asking_price,region,list_date,views,bids,inquiries,sold,days_on_market,final_price
L000000,S0644,Bulldozers,Caterpillar,1998,Fair,6126.0,13000,Mountain West,2022-04-13,16,2,2,1,3,10900.0
L000001,S0236,Motor Graders,John Deere,2004,Fair,,12300,Southeast,2023-12-01,8,0,0,0,30,
L000002,S0425,Compactors,Komatsu,1999,Good,4784.0,6800,Mountain West,2022-03-28,15,1,0,1,25,6100.0
L000003,S0633,Forklifts,Volvo CE,2021,Good,6269.0,17200,Mountain West,2022-10-30,19,3,2,0,230,
L000004,S0092,Motor Graders,Doosan,2016,Fair,5235.0,35200,Southeast,2023-01-11,14,2,5,0,269,
L000005,S0541,Excavators,John Deere,1998,Fair,6735.0,9100,Northeast,2022-05-15,16,2,0,0,55,
L000006,S0587,Wheel Loaders,Liebherr,2023,Excellent,3664.0,105300,West Coast,2023-12-02,13,0,1,1,7,101500.0
L000007,S0772,Forklifts,Case CE,2006,Good,6823.0,3100,Southwest,2021-10-11,20,5,4,1,8,2900.0
L000008,S0138,Bulldozers,Caterpillar,2018,Good,5288.0,51200,Great Plains,2021-02-05,23,2,5,1,11,45200.0
L000009,S0339,Cranes,Volvo CE,2014,Fair,,28000,Northeast,2022-08-07,20,7,4,0,4,
L000010,S0284,Excavators,Hitachi,2007,Good,5979.0,14400,Southeast,2021-01-07,20,2,1,1,22,12900.0
L000011,S0781,Forklifts,Hitachi,2003,Poor,7578.0,2000,Northeast,2022-12-07,16,3,2,0,17,
L000012,S0729,Skid Steers,Caterpillar,2023,Poor,,12700,Northeast,2023-04-15,29,3,2,0,12,
L000013,S0481,Wheel Loaders,Terex,2000,Fair,8089.0,8000,Mid-Atlantic,2021-08-30,13,2,1,0,11,
L000014,S0585,Bulldozers,Hitachi,2017,Fair,4048.0,45900,Southwest,2021-10-19,38,4,5,1,22,38900.0
L000015,S0760,Aerial Work Platforms,Terex,2021,Good,3061.0,29700,Great Plains,2023-06-09,22,2,0,0,154,
L000016,S0619,Motor Graders,JCB,2012,Excellent,6707.0,20400,Midwest,2022-12-01,14,3,0,1,10,20200.0
L000017,S0232,Forklifts,Hitachi,2018,Good,5555.0,10500,Southwest,2021-03-03,10,3,1,0,333,
L000018,S0232,Excavators,Terex,2019,Good,4339.0,55000,West Coast,2021-10-29,18,1,1,1,9,53000.0
